专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
轻工类,安徽农业大学,none,none,none,4,516,"116,997",2,512,"124,696",省重点,none,公办
生物科学类,安徽农业大学,4,543,"91,546",4,531,"88,672",5,536,"80,507",省重点,none,公办
生物制药,安徽农业大学,2,544,"90,416",2,534,"83,336",2,534,"83,316",省重点,none,公办
食品科学与工程类,安徽农业大学,2,545,"88,118",2,533,"85,401",3,531,"88,875",省重点,none,公办
水产养殖学,安徽农业大学,2,520,"131,903",3,512,"125,311",none,none,none,省重点,none,公办
应用化学,安徽农业大学,2,539,"97,359",2,529,"91,600",2,528,"92,997",省重点,none,公办
应用生物科学,安徽农业大学,2,528,"117,119",2,527,"95,842",2,531,"87,642",省重点,none,公办
应用统计学,安徽农业大学,2,557,"70,588",2,544,"68,213",5,538,"76,737",省重点,none,公办
英语,安徽农业大学,3,571,"53,749",3,555,"54,604",2,548,"61,664",省重点,none,公办
园艺,安徽农业大学,none,none,none,none,none,none,4,526,"96,489",省重点,none,公办
植物保护,安徽农业大学,4,533,"108,247",4,521,"107,659",4,524,"100,438",省重点,none,公办
植物生产类(I),安徽农业大学,4,534,"107,384",none,none,none,none,none,none,省重点,none,公办
植物生产类(II),安徽农业大学,4,531,"112,407",4,520,"109,003",none,none,none,省重点,none,公办
智能制造工程,安徽农业大学,none,none,none,none,none,none,2,523,"102,368",省重点,none,公办
材料化学,安徽师范大学,none,none,none,none,none,none,2,546,"64,284",省重点,none,公办
财务管理,安徽师范大学,none,none,none,none,none,none,2,553,"56,175",省重点,none,公办
城乡规划,安徽师范大学,4,570,"54,948",4,552,"57,524",2,549,"60,171",省重点,none,公办
地理科学(师范类),安徽师范大学,none,none,none,5,563,"45,853",2,563,"43,764",省重点,none,公办
地理信息科学,安徽师范大学,none,none,none,4,554,"55,671",2,554,"54,524",省重点,none,公办
电子信息类,安徽师范大学,4,570,"54,831",none,none,none,4,552,"56,671",省重点,none,公办
俄语,安徽师范大学,none,none,none,none,none,none,2,549,"61,335",省重点,none,公办
法学,安徽师范大学,5,580,"43,922",5,566,"42,052",2,566,"40,725",省重点,none,公办
法语,安徽师范大学,none,none,none,none,none,none,2,556,"52,577",省重点,none,公办
工商管理类,安徽师范大学,5,574,"50,638",4,558,"50,895",none,none,none,省重点,none,公办
供应链管理,安徽师范大学,none,none,none,none,none,none,3,538,"77,026",省重点,none,公办
光电信息科学与工程,安徽师范大学,4,565,"60,969",none,none,none,none,none,none,省重点,none,公办
汉语言文学(师范类),安徽师范大学,none,none,none,5,572,"36,579",2,576,"31,931",省重点,none,公办
化学(师范类),安徽师范大学,none,none,none,none,none,none,2,561,"45,728",省重点,none,公办
化学工程与工艺,安徽师范大学,none,none,none,none,none,none,2,548,"61,556",省重点,none,公办
环境科学与工程类,安徽师范大学,4,562,"65,111",5,544,"68,626",4,538,"76,090",省重点,none,公办
会计学,安徽师范大学,none,none,none,none,none,none,2,553,"55,982",省重点,none,公办
计算机科学与技术,安徽师范大学,4,571,"53,390",5,555,"54,744",2,557,"50,991",省重点,none,公办
教育技术学(师范类),安徽师范大学,4,572,"52,795",5,554,"55,549",2,548,"61,803",省重点,none,公办
教育学类(师范类),安徽师范大学,4,579,"45,378",5,562,"46,803",none,none,none,省重点,none,公办
金融工程,安徽师范大学,none,none,none,none,none,none,2,545,"66,371",省重点,none,公办
经济学,安徽师范大学,5,573,"51,576",5,557,"52,473",2,559,"48,094",省重点,none,公办
历史学(师范类),安徽师范大学,5,581,"43,544",4,567,"41,770",2,567,"40,053",省重点,none,公办
旅游管理,安徽师范大学,4,568,"57,657",5,546,"66,684",4,497,"155,747",省重点,none,公办
葡萄牙语,安徽师范大学,none,none,none,none,none,none,2,534,"83,686",省重点,none,公办
人工智能,安徽师范大学,none,none,none,none,none,none,2,554,"54,533",省重点,none,公办
人力资源管理,安徽师范大学,none,none,none,none,none,none,2,551,"58,673",省重点,none,公办
日语,安徽师范大学,none,none,none,none,none,none,2,551,"58,338",省重点,none,公办
软件工程,安徽师范大学,none,none,none,none,none,none,2,555,"52,808",省重点,none,公办
社会学类,安徽师范大学,4,573,"51,799",5,555,"54,725",4,552,"57,293",省重点,none,公办
生态学,安徽师范大学,4,567,"58,554",5,547,"64,310",3,543,"68,700",省重点,none,公办
生物技术,安徽师范大学,none,none,none,5,554,"56,136",3,552,"57,125",省重点,none,公办
生物科学(师范类),安徽师范大学,5,579,"45,339",5,564,"44,837",2,563,"44,293",省重点,none,公办
世界史,安徽师范大学,none,none,none,4,562,"46,946",2,560,"47,756",省重点,none,公办
数据科学与大数据技术,安徽师范大学,none,none,none,none,none,none,2,550,"59,386",省重点,none,公办
数学与应用数学(师范类),安徽师范大学,5,576,"47,728",5,562,"46,116",2,565,"41,737",省重点,none,公办
数字经济,安徽师范大学,none,none,none,none,none,none,2,517,"114,333",省重点,none,公办
思想政治教育(师范类),安徽师范大学,5,580,"44,510",6,566,"42,809",2,568,"38,553",省重点,none,公办
统计学,安徽师范大学,4,568,"57,129",5,551,"59,127",2,549,"60,530",省重点,none,公办
土地资源管理,安徽师范大学,4,556,"72,011",4,543,"69,641",2,540,"73,390",省重点,none,公办
网络空间安全,安徽师范大学,none,none,none,none,none,none,2,551,"57,540",省重点,none,公办
物理学(师范类),安徽师范大学,4,575,"49,172",none,none,none,2,559,"48,083",省重点,none,公办
物联网工程,安徽师范大学,none,none,none,none,none,none,2,549,"60,624",省重点,none,公办
心理学(师范类),安徽师范大学,5,573,"51,977",5,556,"52,715",2,558,"49,198",省重点,none,公办
新闻传播学类,安徽师范大学,none,none,none,4,564,"44,132",4,564,"43,141",省重点,none,公办
行政管理,安徽师范大学,5,571,"54,139",4,554,"55,697",2,550,"59,816",省重点,none,公办
学前教育(师范类),安徽师范大学,5,569,"56,468",none,none,none,2,549,"61,110",省重点,none,公办
应用化学,安徽师范大学,none,none,none,none,none,none,2,546,"64,378",省重点,none,公办
中国语言文学类,安徽师范大学,6,586,"38,226",4,571,"37,950",5,568,"39,112",省重点,none,公办
自动化,安徽师范大学,none,none,none,none,none,none,2,551,"57,808",省重点,none,公办
健康服务与管理(中外合作办学),安徽医科大学,none,none,none,2,518,"113,061",2,523,"102,789",省重点,none,公办
口腔医学,安徽医科大学,2,616,"16,716",2,605,"14,040",2,606,"12,532",省重点,none,公办
临床医学,安徽医科大学,8,608,"21,430",6,594,"20,072",6,594,"18,656",省重点,none,公办
生物医学工程,安徽医科大学,none,none,none,2,582,"27,938",2,574,"33,441",省重点,none,公办
信息管理与信息系统,安徽医科大学,2,569,"56,067",none,none,none,none,none,none,省重点,none,公办
药学,安徽医科大学,2,597,"28,880",2,578,"31,559",2,572,"34,770",省重点,none,公办
医学影像学,安徽医科大学,2,602,"25,574",2,584,"26,796",2,584,"25,171",省重点,none,公办
新闻学,安徽艺术学院,none,none,none,5,493,"165,135",5,491,"170,414",none,none,公办
保险学,安徽中医药大学,3,512,"145,763",3,502,"145,468",3,501,"148,162",省重点,none,公办
汉语国际教育,安徽中医药大学,2,536,"102,906",2,524,"101,933",2,521,"105,760",省重点,none,公办
护理学,安徽中医药大学,8,520,"131,675",8,511,"126,331",6,508,"132,712",省重点,none,公办
生物制药,安徽中医药大学,2,537,"100,736",2,525,"99,959",2,524,"100,749",省重点,none,公办
数据科学与大数据技术,安徽中医药大学,none,none,none,none,none,none,3,513,"121,989",省重点,none,公办
医学信息工程,安徽中医药大学,2,523,"125,709",2,511,"126,075",3,507,"134,847",省重点,none,公办
针灸推拿学,安徽中医药大学,5,539,"98,011",5,530,"90,894",2,541,"72,244",省重点,none,公办
中西医临床医学,安徽中医药大学,4,551,"79,270",4,540,"74,871",4,536,"79,602",省重点,none,公办
中药学,安徽中医药大学,3,531,"111,230",3,521,"107,532",3,537,"78,735",省重点,none,公办
中医儿科学,安徽中医药大学,2,557,"71,813",2,544,"68,118",2,544,"68,050",省重点,none,公办
中医康复学,安徽中医药大学,none,none,none,none,none,none,2,527,"94,578",省重点,none,公办
中医学,安徽中医药大学,6,561,"65,730",6,550,"60,735",5,550,"58,806",省重点,none,公办
财务管理,安康学院,2,497,"176,915",2,488,"177,389",2,486,"181,875",none,none,公办
地理科学(师范类),安康学院,2,499,"172,831",2,494,"163,811",none,none,none,none,none,公办
工程造价,安康学院,2,489,"192,865",2,480,"195,446",2,476,"205,399",none,none,公办
环境生态工程,安康学院,2,490,"190,764",2,485,"184,072",2,480,"197,687",none,none,公办
会计学,安康学院,2,496,"177,405",2,490,"171,882",2,488,"177,887",none,none,公办
计算机科学与技术,安康学院,none,none,none,none,none,none,2,484,"187,118",none,none,公办
康复治疗学,安康学院,none,none,none,none,none,none,2,491,"171,330",none,none,公办
旅游管理,安康学院,none,none,none,none,none,none,2,480,"197,714",none,none,公办
秘书学,安康学院,2,490,"189,691",2,484,"187,117",2,483,"190,568",none,none,公办
农学,安康学院,2,491,"188,694",2,484,"187,364",2,481,"195,082",none,none,公办
商务英语,安康学院,none,none,none,none,none,none,2,486,"183,137",none,none,公办
社会工作,安康学院,2,493,"183,948",2,485,"183,797",none,none,none,none,none,公办
生物技术,安康学院,2,491,"188,046",2,484,"185,921",2,480,"196,523",none,none,公办
食品科学与工程,安康学院,none,none,none,none,none,none,2,481,"194,312",none,none,公办
思想政治教育(师范类),安康学院,2,500,"170,474",2,494,"163,690",2,495,"161,985",none,none,公办
统计学,安康学院,2,494,"182,253",2,486,"181,192",2,485,"185,420",none,none,公办
网络与新媒体,安康学院,2,496,"177,430",2,488,"177,625",none,none,none,none,none,公办
物联网工程,安康学院,2,490,"190,314",2,481,"194,182",none,none,none,none,none,公办
小学教育(师范类),安康学院,2,499,"171,759",2,495,"160,282",none,none,none,none,none,公办
学前教育(师范类),安康学院,2,497,"176,232",2,490,"172,926",2,489,"176,095",none,none,公办
应用化学,安康学院,2,491,"188,247",2,483,"187,958",none,none,none,none,none,公办
英语(师范类),安康学院,none,none,none,none,none,none,2,494,"164,371",none,none,公办
园林,安康学院,2,493,"184,031",2,486,"182,556",none,none,none,none,none,公办
制药工程,安康学院,none,none,none,none,none,none,2,482,"191,985",none,none,公办
电子信息类,安庆师范大学,10,513,"144,355",10,503,"143,169",10,501,"147,244",none,none,公办
法学类,安庆师范大学,5,533,"108,257",5,524,"100,736",5,525,"99,375",none,none,公办
数学类,安庆师范大学,5,526,"120,029",5,515,"117,607",5,512,"123,479",none,none,公办
外国语言文学类,安庆师范大学,5,546,"87,635",5,531,"89,594",5,529,"91,618",none,none,公办
物流管理,安庆师范大学,5,515,"141,437",5,505,"138,566",5,501,"147,424",none,none,公办
电子信息工程,安顺学院,1,486,"197,869",1,481,"194,161",1,477,"202,885",none,none,公办
公共事业管理,安顺学院,none,none,none,1,482,"190,476",none,none,none,none,none,公办
汉语言文学(师范类),安顺学院,1,498,"174,514",1,493,"166,007",1,496,"158,319",none,none,公办
计算机类,安顺学院,1,486,"198,382",1,481,"192,356",1,482,"192,444",none,none,公办
旅游管理,安顺学院,1,491,"187,479",1,482,"191,858",1,479,"200,240",none,none,公办
设施农业科学与工程,安顺学院,1,489,"193,116",none,none,none,none,none,none,none,none,公办
食品质量与安全,安顺学院,1,497,"176,664",1,487,"180,480",1,484,"188,147",none,none,公办
土地资源管理,安顺学院,1,493,"184,187",none,none,none,1,481,"195,299",none,none,公办
植物生产类,安顺学院,none,none,none,1,481,"192,818",1,479,"199,626",none,none,公办
安全工程,安阳工学院,2,486,"198,377",2,480,"194,987",2,477,"204,090",none,none,公办
城乡规划(中外合作办学),安阳工学院,none,none,none,2,475,"206,311",2,471,"217,654",none,none,公办
电子商务,安阳工学院,2,493,"184,864",2,485,"185,081",2,482,"192,866",none,none,公办
动物医学,安阳工学院,2,499,"172,030",2,492,"167,827",2,493,"166,682",none,none,公办
飞行器适航技术,安阳工学院,none,none,none,2,478,"200,475",2,474,"210,374",none,none,公办
飞行器制造工程,安阳工学院,none,none,none,2,477,"202,132",2,476,"205,649",none,none,公办
给排水科学与工程,安阳工学院,2,487,"196,067",none,none,none,none,none,none,none,none,公办
工业设计,安阳工学院,none,none,none,2,479,"197,090",none,none,none,none,none,公办
化学工程与工艺,安阳工学院,3,492,"186,988",2,484,"186,960",none,none,none,none,none,公办
环境工程,安阳工学院,2,493,"184,039",2,483,"189,507",2,478,"200,992",none,none,公办
机械电子工程(中外合作办学),安阳工学院,2,474,"223,775",2,472,"213,112",2,468,"225,291",none,none,公办
机械设计制造及其自动化,安阳工学院,2,491,"187,812",none,none,none,none,none,none,none,none,公办
交通运输(民航交通方向),安阳工学院,2,493,"183,377",2,487,"178,985",none,none,none,none,none,公办
商务英语(民航服务英语方向),安阳工学院,2,497,"176,274",2,488,"177,631",2,485,"184,848",none,none,公办
生物技术,安阳工学院,3,492,"186,082",3,485,"184,279",none,none,none,none,none,公办
食品科学与工程,安阳工学院,2,492,"186,745",2,487,"180,520",2,483,"188,199",none,none,公办
食品质量与安全,安阳工学院,2,492,"186,108",none,none,none,none,none,none,none,none,公办
土木工程(中外合作办学),安阳工学院,2,474,"223,601",none,none,none,none,none,none,none,none,公办
网络工程,安阳工学院,2,489,"191,308",2,482,"191,178",2,480,"195,557",none,none,公办
物流管理,安阳工学院,2,486,"197,745",2,478,"200,187",2,473,"212,760",none,none,公办
新能源材料与器件,安阳工学院,none,none,none,2,483,"189,324",none,none,none,none,none,公办
信息管理与信息系统(中外合作办学),安阳工学院,none,none,none,none,none,none,3,469,"224,281",none,none,公办
应用物理学,安阳工学院,2,489,"192,117",2,482,"191,427",none,none,none,none,none,公办
电气工程及其自动化,安阳师范学院,3,492,"185,959",3,484,"186,815",2,484,"187,263",none,none,公办
法学,安阳师范学院,4,505,"158,971",4,499,"152,152",4,500,"149,963",none,none,公办
国际经济与贸易,安阳师范学院,4,495,"180,827",4,487,"179,921",2,486,"183,378",none,none,公办
汉语言文学(师范类),安阳师范学院,none,none,none,none,none,none,3,513,"122,205",none,none,公办
化学(师范类),安阳师范学院,4,507,"155,434",4,502,"146,002",4,501,"147,914",none,none,公办
计算机科学与技术,安阳师范学院,4,500,"169,181",4,492,"166,848",6,491,"170,872",none,none,公办
历史学类,安阳师范学院,4,524,"124,421",4,513,"123,067",4,513,"122,562",none,none,公办
社会学,安阳师范学院,3,498,"173,587",3,489,"174,919",3,492,"168,286",none,none,公办
数学与应用数学(师范类),安阳师范学院,4,503,"163,157",4,495,"160,301",4,497,"156,560",none,none,公办
思想政治教育(师范类),安阳师范学院,4,514,"142,854",4,509,"131,567",4,508,"132,112",none,none,公办
土木工程,安阳师范学院,3,493,"184,000",3,483,"189,394",3,476,"206,280",none,none,公办
物理学(师范类),安阳师范学院,3,500,"168,961",3,494,"163,115",3,493,"165,003",none,none,公办
物流管理,安阳师范学院,3,499,"170,855",3,491,"169,851",none,none,none,none,none,公办
应用化学,安阳师范学院,none,none,none,3,490,"173,546",none,none,none,none,none,公办
制药工程,安阳师范学院,3,496,"178,059",none,none,none,3,486,"182,031",none,none,公办
中国语言文学类(师范类),安阳师范学院,4,516,"138,305",4,510,"128,594",none,none,none,none,none,公办
会计学,鞍山师范学院,1,502,"166,467",none,none,none,none,none,none,none,none,公办
