山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
17土地整治工程,A113山西农业大学,3,3,3,505,160019,,
18环境科学,A113山西农业大学,3,3,3,509,152798,,
19农业资源与环境,A113山西农业大学,3,3,3,506,158180,,
20土地资源管理,A113山西农业大学,4,4,4,517,137346,,
21园艺,A113山西农业大学,7,7,7,505,160414,,
24机械类,A113山西农业大学,3,3,3,510,150410,,
25电气工程及其自动化,A113山西农业大学,2,2,2,514,142066,,
26农业工程类,A113山西农业大学,3,3,3,504,161521,,
27农业机械化及其自动化（卓越人才实验班）,A113山西农业大学,2,2,2,508,154304,,
28食品科学与工程类,A113山西农业大学,3,3,3,509,151650,,
29食品质量与安全（卓越人才实验班）,A113山西农业大学,2,2,2,529,114674,,
30葡萄与葡萄酒工程,A113山西农业大学,1,1,1,509,151626,,
31食用菌科学与工程,A113山西农业大学,2,2,2,501,167020,,
32生物工程,A113山西农业大学,1,1,1,509,152129,,
33国际经济与贸易,A113山西农业大学,2,2,2,531,112204,,
34工商管理类,A113山西农业大学,3,3,3,520,131724,,
35农业经济管理类,A113山西农业大学,4,4,4,515,139621,,
36农林经济管理（卓越人才实验班）,A113山西农业大学,2,2,2,523,126532,,
37计算机类,A113山西农业大学,4,4,4,515,141347,,
38法学,A113山西农业大学,2,2,2,531,112057,,
39公共事业管理,A113山西农业大学,3,3,3,517,136466,,
40行政管理,A113山西农业大学,2,2,2,525,122466,,
41生物科学类,A113山西农业大学,6,6,6,508,154232,,
42中药资源与开发,A113山西农业大学,2,2,2,510,149384,,
44智能科学与技术,A113山西农业大学,3,3,3,512,145514,,
45数据科学与大数据技术,A113山西农业大学,2,2,2,515,139641,,
47土木类,A113山西农业大学,2,2,2,509,151391,,
48建筑类,A113山西农业大学,3,3,3,523,126355,,
49应用化学,A113山西农业大学,3,3,3,510,150776,,
01临床医学（5+3一体化）,A114山西医科大学,4,4,4,612,19153,,
03临床医学,A114山西医科大学,2,2,2,608,21258,,
04基础医学,A114山西医科大学,2,2,2,586,38290,,
05麻醉学,A114山西医科大学,3,3,3,596,29403,,
06口腔医学,A114山西医科大学,4,4,4,603,24749,,
07医学影像学,A114山西医科大学,3,3,3,598,27996,,
08预防医学,A114山西医科大学,4,4,4,576,47800,,
09儿科学,A114山西医科大学,3,3,3,595,30707,,
10精神医学,A114山西医科大学,3,3,3,574,50147,,
12法医学,A114山西医科大学,2,2,2,586,38279,,
13临床药学,A114山西医科大学,2,2,2,593,32265,,
14药学,A114山西医科大学,2,2,2,588,36699,,
16药学（药剂学方向）,A114山西医科大学,2,2,2,591,33742,,
17护理学,A114山西医科大学,4,4,4,557,70979,,
18信息管理与信息系统（医学信息学方向）,A114山西医科大学,3,3,3,558,70389,,
19社会工作,A114山西医科大学,2,2,2,526,120177,,
20公共事业管理（卫生事业管理方向）,A114山西医科大学,2,2,2,529,114663,,
21生物制药,A114山西医科大学,3,3,3,582,42091,,
22医学检验技术,A114山西医科大学,3,3,3,581,43091,,
23卫生检验与检疫,A114山西医科大学,2,2,2,580,43878,,
24康复治疗学,A114山西医科大学,3,3,3,570,54721,,
25医学影像技术,A114山西医科大学,2,2,2,574,50009,,
27眼视光医学,A114山西医科大学,2,2,2,599,27135,,
50临床医学,A114山西医科大学,4,4,4,591,33556,,
51医学影像学,A114山西医科大学,4,4,4,570,54709,,
52口腔医学,A114山西医科大学,1,1,1,593,31949,,
53医学检验技术,A114山西医科大学,1,1,1,566,59393,,
54医学实验技术,A114山西医科大学,1,1,1,559,69073,,
55眼视光学,A114山西医科大学,1,1,1,585,38891,,
56康复治疗学,A114山西医科大学,2,2,2,549,82449,,
57护理学,A114山西医科大学,4,4,4,541,95253,,
58助产学,A114山西医科大学,1,1,1,563,63741,,
59健康服务与管理,A114山西医科大学,1,1,1,568,57650,,
01临床医学,A117长治医学院,14,14,14,540,97016,,
02麻醉学,A117长治医学院,1,1,1,547,85732,,
03口腔医学,A117长治医学院,1,1,1,558,69717,,
04医学影像学,A117长治医学院,1,1,1,548,83862,,
05精神医学,A117长治医学院,1,1,1,537,100953,,
06预防医学,A117长治医学院,2,2,2,528,117626,,
08医学检验技术,A117长治医学院,1,1,1,533,108390,,
09医学影像技术,A117长治医学院,1,1,1,532,109475,,
11康复治疗学,A117长治医学院,2,2,2,526,120766,,
12药学,A117长治医学院,2,2,2,526,120391,,
13中药学,A117长治医学院,1,1,1,530,114227,,
14护理学,A117长治医学院,4,4,4,511,147964,,
15助产学,A117长治医学院,2,2,2,518,134083,,
16生物医学工程,A117长治医学院,3,3,3,505,160244,,
17信息管理与信息系统,A117长治医学院,1,1,1,492,186308,,
18应用心理学,A117长治医学院,1,1,1,527,119108,,
19传播学,A117长治医学院,2,2,2,506,158462,,
04思想政治教育,A118山西师范大学,3,3,3,569,56416,,
06教育学,A118山西师范大学,3,3,3,568,57041,,
07教育技术学,A118山西师范大学,3,3,3,546,87279,,
0K日语,A118山西师范大学,3,3,3,556,72353,,
0L历史学,A118山西师范大学,3,3,3,563,63135,,
0N编辑出版学,A118山西师范大学,3,3,3,547,84798,,
11自然地理与资源环境,A118山西师范大学,3,3,3,543,91506,,
14生物科学类,A118山西师范大学,3,3,3,556,72047,,
1B计算机科学与技术,A118山西师范大学,3,3,3,535,104137,,
1D环境生态工程,A118山西师范大学,3,3,3,529,115332,,
1E食品科学与工程,A118山西师范大学,3,3,3,525,121462,,
1F食品质量与安全,A118山西师范大学,3,3,3,531,111862,,
1G园艺,A118山西师范大学,3,3,3,522,126699,,
0F物理学,A119太原师范学院,5,5,5,513,144130,,
0G科学教育,A119太原师范学院,4,4,4,509,151562,,
0J化学,A119太原师范学院,6,6,6,515,140476,,
0K应用化学,A119太原师范学院,3,3,3,504,161409,,
0L生物科学,A119太原师范学院,6,6,6,520,130927,,
0M生物技术,A119太原师范学院,3,3,3,506,158074,,
0N经济学,A119太原师范学院,4,4,4,511,147400,,
0Q数学与应用数学,A119太原师范学院,6,6,6,514,141899,,
0S英语,A119太原师范学院,5,5,5,526,119769,,
0T翻译,A119太原师范学院,5,5,5,516,138614,,
0V文物与博物馆学,A119太原师范学院,2,2,2,524,123875,,
0W思想政治教育,A119太原师范学院,4,4,4,522,127522,,
0Y政治学与行政学,A119太原师范学院,4,4,4,512,145659,,
0Z教育学,A119太原师范学院,4,4,4,521,129055,,
10学前教育,A119太原师范学院,5,5,5,515,140837,,
11小学教育,A119太原师范学院,5,5,5,522,128414,,
12应用心理学,A119太原师范学院,4,4,4,517,137645,,
13计算机科学与技术,A119太原师范学院,5,5,5,506,158362,,
15地理科学,A119太原师范学院,5,5,5,527,119387,,
18旅游管理,A119太原师范学院,3,3,3,508,154787,,
19土地资源管理,A119太原师范学院,3,3,3,508,154629,,
1B汉语言文学,A119太原师范学院,5,5,5,528,117698,,
1D法学,A119太原师范学院,3,3,3,519,133523,,
01法学,A120山西大同大学,10,10,10,533,108531,,
12新闻学,A120山西大同大学,5,5,5,527,119072,,
14汉语言文学,A120山西大同大学,15,15,15,532,110791,,
36数学与应用数学,A120山西大同大学,10,10,10,518,134666,,
48生物工程,A120山西大同大学,5,5,5,509,151831,,
59土木工程,A120山西大同大学,5,5,5,509,152044,,
12汉语言文学,A121晋中学院,5,5,5,505,160832,,
14英语,A121晋中学院,5,5,5,504,162517,,
18人力资源管理,A121晋中学院,5,5,5,495,179605,,
20旅游管理,A121晋中学院,5,5,5,492,186149,,
22酒店管理,A121晋中学院,5,5,5,493,183417,,
29数学与应用数学,A121晋中学院,5,5,5,494,181285,,
33应用化学,A121晋中学院,3,3,3,494,181798,,
01汉语言文学,A122长治学院,8,8,8,502,165999,,
02新闻学,A122长治学院,2,2,2,501,166926,,
04历史学,A122长治学院,4,4,4,503,164375,,
08经济学,A122长治学院,2,2,2,499,171703,,
09法学,A122长治学院,6,6,6,502,166166,,
11思想政治教育,A122长治学院,8,8,8,501,168596,,
14商务英语,A122长治学院,3,3,3,498,174908,,
15数学与应用数学,A122长治学院,3,3,3,497,175213,,
17物理学,A122长治学院,2,2,2,495,179973,,
18光电信息科学与工程,A122长治学院,2,2,2,489,191966,,
19电子信息科学与技术,A122长治学院,2,2,2,490,189331,,
20生物科学,A122长治学院,2,2,2,500,169860,,
23化学,A122长治学院,2,2,2,499,171671,,
28网络工程,A122长治学院,2,2,2,492,186738,,
29数据科学与大数据技术,A122长治学院,2,2,2,492,185878,,
30学前教育,A122长治学院,2,2,2,499,171372,,
21机械设计制造及其自动化,A123运城学院,5,5,5,488,193515,,
22机械电子工程,A123运城学院,5,5,5,488,195164,,
27网络工程,A123运城学院,5,5,5,488,193375,,
30食品科学与工程,A123运城学院,5,5,5,493,183680,,
01地理科学,A124忻州师范学院,7,7,7,507,156986,,
02通信工程,A124忻州师范学院,4,4,4,488,193588,,
03电子信息科学与技术,A124忻州师范学院,2,2,2,497,175204,,
04法学,A124忻州师范学院,3,3,3,508,154661,,
06应用化学,A124忻州师范学院,4,4,4,494,182636,,
07计算机科学与技术,A124忻州师范学院,3,3,3,493,183235,,
09数字媒体技术,A124忻州师范学院,2,2,2,494,182071,,
10数据科学与大数据技术,A124忻州师范学院,3,3,3,490,189994,,
11学前教育,A124忻州师范学院,3,3,3,508,154588,,
12心理学,A124忻州师范学院,1,1,1,515,140303,,
13人文地理与城乡规划,A124忻州师范学院,1,1,1,515,140068,,
14旅游管理,A124忻州师范学院,1,1,1,506,158115,,
16生物科学,A124忻州师范学院,2,2,2,503,162973,,
18数学与应用数学,A124忻州师范学院,3,3,3,499,171975,,
22英语,A124忻州师范学院,3,3,3,516,139041,,
23翻译,A124忻州师范学院,1,1,1,510,150998,,
25科学教育,A124忻州师范学院,1,1,1,516,138809,,
29审计学,A124忻州师范学院,3,3,3,501,167185,,
30工商管理,A124忻州师范学院,3,3,3,498,173812,,
31财务管理,A124忻州师范学院,2,2,2,500,170381,,
32历史学,A124忻州师范学院,3,3,3,511,147960,,
33思想政治教育,A124忻州师范学院,2,2,2,514,143173,,
34汉语言文学,A124忻州师范学院,3,3,3,516,138135,,
36网络与新媒体,A124忻州师范学院,2,2,2,506,158544,,
01经济学,A125山西财经大学,3,3,3,579,45322,,
02能源经济,A125山西财经大学,3,3,3,557,71525,,
03统计学,A125山西财经大学,4,4,4,565,60538,,
04经济统计学,A125山西财经大学,3,3,3,565,60139,,
05应用统计学,A125山西财经大学,2,2,2,563,62668,,
06国际经济与贸易,A125山西财经大学,4,4,4,568,57173,,
07贸易经济,A125山西财经大学,3,3,3,563,63274,,
08农林经济管理,A125山西财经大学,4,4,4,555,74169,,
09国际商务,A125山西财经大学,3,3,3,558,69777,,
10财政学,A125山西财经大学,2,2,2,576,48164,,
11金融学,A125山西财经大学,6,6,6,574,50160,,
12金融工程,A125山西财经大学,2,2,2,565,61078,,
13保险学,A125山西财经大学,2,2,2,561,65937,,
14税收学,A125山西财经大学,2,2,2,577,47653,,
15法学,A125山西财经大学,4,4,4,571,53655,,
16商务英语,A125山西财经大学,2,2,2,573,51416,,
17管理科学,A125山西财经大学,2,2,2,544,89574,,
18工程管理,A125山西财经大学,3,3,3,546,86557,,
19房地产开发与管理,A125山西财经大学,2,2,2,540,96849,,
20工程造价,A125山西财经大学,2,2,2,549,82659,,
21信息管理与信息系统,A125山西财经大学,3,3,3,553,76019,,
22计算机科学与技术,A125山西财经大学,2,2,2,567,57888,,
23电子商务,A125山西财经大学,3,3,3,547,84938,,
24工商管理,A125山西财经大学,2,2,2,573,51807,,
25市场营销,A125山西财经大学,4,4,4,555,73945,,
26物流管理,A125山西财经大学,4,4,4,555,74445,,
27会计学,A125山西财经大学,3,3,3,585,38950,,
28财务管理,A125山西财经大学,2,2,2,578,46383,,
29审计学,A125山西财经大学,3,3,3,575,49307,,
30资产评估,A125山西财经大学,3,3,3,563,63179,,
31劳动与社会保障,A125山西财经大学,2,2,2,557,70905,,
32人力资源管理,A125山西财经大学,3,3,3,565,60556,,
33行政管理,A125山西财经大学,1,1,1,573,51820,,
34国民经济管理,A125山西财经大学,2,2,2,559,68919,,
35土地资源管理,A125山西财经大学,2,2,2,553,76860,,
36新闻学,A125山西财经大学,2,2,2,567,58067,,
38文化产业管理,A125山西财经大学,2,2,2,559,68818,,
39旅游管理,A125山西财经大学,4,4,4,548,84408,,
40网络与新媒体,A125山西财经大学,1,1,1,565,60122,,
41信息与计算科学,A125山西财经大学,1,1,1,560,66935,,
42金融数学,A125山西财经大学,2,2,2,561,66142,,
43自然地理与资源环境,A125山西财经大学,3,3,3,561,65627,,
44人文地理与城乡规划,A125山西财经大学,2,2,2,568,57400,,
45资源与环境经济学,A125山西财经大学,3,3,3,563,63614,,
47数据科学与大数据技术,A125山西财经大学,2,2,2,563,63669,,
48汉语国际教育,A125山西财经大学,1,1,1,561,65345,,
49金融学(中外合作办学),A125山西财经大学,5,5,5,543,92130,,
50会计学(中外合作办学),A125山西财经大学,5,5,5,543,92431,,
11哲学,A126内蒙古大学,1,1,1,597,28873,,
12哲学,A126内蒙古大学,2,2,2,591,33919,,
13法学,A126内蒙古大学,3,3,3,599,27586,,
14政治学与行政学,A126内蒙古大学,2,2,2,592,33225,,
15社会学,A126内蒙古大学,2,2,2,589,35623,,
16社会工作,A126内蒙古大学,1,1,1,579,45567,,
18汉语言文学,A126内蒙古大学,1,1,1,602,25126,,
19汉语言文学,A126内蒙古大学,3,3,3,599,27470,,
1A汉语国际教育,A126内蒙古大学,3,3,3,589,35448,,
1B英语,A126内蒙古大学,4,4,4,593,32524,,
1C俄语,A126内蒙古大学,2,2,2,586,38401,,
1D日语,A126内蒙古大学,1,1,1,585,39198,,
1E新闻学,A126内蒙古大学,2,2,2,594,31083,,
1G历史学,A126内蒙古大学,1,1,1,603,24795,,
1H历史学,A126内蒙古大学,3,3,3,596,29984,,
1N行政管理,A126内蒙古大学,3,3,3,590,34679,,
1P劳动与社会保障,A126内蒙古大学,3,3,3,582,42269,,
1Q土地资源管理,A126内蒙古大学,3,3,3,583,41472,,
1R旅游管理,A126内蒙古大学,1,1,1,579,44941,,
31经济学,A126内蒙古大学,4,4,4,596,29602,,
32金融学,A126内蒙古大学,4,4,4,593,32335,,
35数学类,A126内蒙古大学,8,8,8,592,32540,,
38物理学类,A126内蒙古大学,4,4,4,593,31936,,
3B应用化学,A126内蒙古大学,4,4,4,584,40080,,
3C大气科学,A126内蒙古大学,2,2,2,587,37278,,
3D生物科学,A126内蒙古大学,3,3,3,594,30960,,
3E生物科学,A126内蒙古大学,2,2,2,591,33641,,
3F生物科学,A126内蒙古大学,2,2,2,588,35933,,
3G生物技术,A126内蒙古大学,2,2,2,586,37848,,
3H生物技术,A126内蒙古大学,1,1,1,590,34199,,
3K生态学,A126内蒙古大学,2,2,2,585,39100,,
3M机械工程,A126内蒙古大学,6,6,6,587,37046,,
3Q电子信息类,A126内蒙古大学,8,8,8,591,33535,,
3R电子科学与技术,A126内蒙古大学,4,4,4,592,32966,,
3W计算机科学与技术,A126内蒙古大学,2,2,2,598,28001,,
3X软件工程,A126内蒙古大学,5,5,5,594,31070,,
3Y网络工程,A126内蒙古大学,2,2,2,594,30986,,
42道路桥梁与渡河工程,A126内蒙古大学,7,7,7,585,39132,,
43化学工程与工艺,A126内蒙古大学,4,4,4,586,38473,,
44交通运输,A126内蒙古大学,6,6,6,585,39246,,
45环境工程,A126内蒙古大学,2,2,2,585,38949,,
46环境科学,A126内蒙古大学,2,2,2,584,39665,,
47环境生态工程,A126内蒙古大学,1,1,1,586,38160,,
4A生物工程,A126内蒙古大学,2,2,2,587,37299,,
4B园艺,A126内蒙古大学,3,3,3,573,51280,,
4D信息管理与信息系统,A126内蒙古大学,2,2,2,590,34622,,
4E工程管理,A126内蒙古大学,7,7,7,580,43697,,
4F工商管理,A126内蒙古大学,4,4,4,588,36501,,
4H会计学,A126内蒙古大学,4,4,4,592,33082,,
04社会工作,A127内蒙古科技大学,3,3,3,511,148086,,
05思想政治教育,A127内蒙古科技大学,1,1,1,535,104701,,
06汉语言文学,A127内蒙古科技大学,3,3,3,532,110251,,
07秘书学,A127内蒙古科技大学,2,2,2,511,148022,,
10广告学,A127内蒙古科技大学,2,2,2,513,145172,,
15公共事业管理,A127内蒙古科技大学,3,3,3,514,141929,,
20金融学,A127内蒙古科技大学,2,2,2,532,109085,,
21国际经济与贸易,A127内蒙古科技大学,2,2,2,515,140484,,
22法学,A127内蒙古科技大学,2,2,2,524,124113,,
24商务英语,A127内蒙古科技大学,2,2,2,519,133722,,
25数学与应用数学,A127内蒙古科技大学,3,3,3,514,142423,,
26应用物理学,A127内蒙古科技大学,5,5,5,505,159088,,
27应用化学,A127内蒙古科技大学,6,6,6,504,161944,,
28生物技术,A127内蒙古科技大学,5,5,5,505,158968,,
31机械设计制造及其自动化,A127内蒙古科技大学,7,7,7,508,153141,,
32材料成型及控制工程,A127内蒙古科技大学,5,5,5,501,167439,,
33机械电子工程,A127内蒙古科技大学,6,6,6,504,161064,,
35过程装备与控制工程,A127内蒙古科技大学,6,6,6,500,169956,,
36车辆工程,A127内蒙古科技大学,5,5,5,503,163021,,
37测控技术与仪器,A127内蒙古科技大学,5,5,5,502,166127,,
39冶金工程,A127内蒙古科技大学,7,7,7,501,168349,,
44能源与动力工程,A127内蒙古科技大学,3,3,3,513,143408,,
45电气工程及其自动化,A127内蒙古科技大学,3,3,3,510,150179,,
46电子信息工程,A127内蒙古科技大学,3,3,3,514,141552,,
47通信工程,A127内蒙古科技大学,4,4,4,513,144228,,
